Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,TD,Y/A,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
60,60,11,12,2017-11-26,KAN,,BUF,L 10-16,*,4,3,39,13.0,0,75.0,9.8,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,56,96.6,0,0.0,0,0.0
61,61,12,13,2017-12-03,KAN,@,NYJ,L 31-38,*,8,4,94,23.5,2,50.0,11.8,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,42,91.3,0,0.0,0,0.0
62,62,13,14,2017-12-10,KAN,,OAK,W 26-15,*,13,7,74,10.6,0,53.8,5.7,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,69,92.0,0,0.0,0,0.0
63,63,14,15,2017-12-16,KAN,,LAC,W 30-13,*,7,6,46,7.7,0,85.7,6.6,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,90.9,1,1.6,0,0.0
64,64,15,16,2017-12-24,KAN,,MIA,W 29-13,*,8,4,47,11.8,1,50.0,5.9,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,68,86.1,0,0.0,0,0.0
65,65,1,1,2018-09-09,KAN,@,LAC,W 38-28,*,6,1,6,6.0,0,16.7,1.0,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
66,66,2,2,2018-09-16,KAN,@,PIT,W 42-37,*,10,7,109,15.6,2,70.0,10.9,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,57,98.3,0,0.0,0,0.0
67,67,3,3,2018-09-23,KAN,,SFO,W 38-27,*,10,8,114,14.3,0,80.0,11.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,71,94.7,0,0.0,0,0.0
68,68,4,4,2018-10-01,KAN,@,DEN,W 27-23,*,12,7,78,11.1,1,58.3,6.5,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,73,93.6,0,0.0,0,0.0
69,69,5,5,2018-10-07,KAN,,JAX,W 30-14,*,8,5,100,20.0,0,62.5,12.5,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,94.3,0,0.0,0,0.0
